country,edu_spending_pct_gdp,gdp_per_capita_usd,tertiary_attainment_pct,youth_unemployment_pct,r_and_d_pct_gdp,year
South Korea,4.7,34660,70,8.5,4.8,2022
Japan,3.4,33815,65,4.2,3.3,2022
Finland,5.9,50710,43,14.1,2.9,2022
Germany,4.7,48718,33,5.8,3.1,2022
United States,5.0,76330,50,7.9,3.5,2022
United Kingdom,5.5,45850,48,11.2,1.7,2022
France,5.3,42330,40,17.3,2.2,2022
Norway,6.5,89154,46,10.5,2.3,2022
Sweden,6.8,55215,44,20.2,3.4,2022
Canada,5.2,52080,63,10.8,1.7,2022
Australia,5.1,64490,52,8.5,1.7,2022
Netherlands,5.1,57003,41,9.3,2.3,2022
Switzerland,5.0,93260,45,8.0,3.4,2022
Ireland,3.3,100172,55,10.3,1.2,2022
Israel,6.2,52170,50,6.5,5.6,2022
Cyprus,5.5,31750,58,17.0,0.9,2022
Greece,3.7,20960,35,29.5,1.5,2022
Portugal,4.9,24570,32,22.0,1.7,2022
Poland,4.6,17840,33,11.8,1.4,2022
Czech Republic,4.4,27220,25,7.3,1.8,2022
Estonia,5.2,27280,43,12.0,1.8,2022
Chile,5.4,16265,28,19.8,0.4,2022
Mexico,4.3,10950,18,6.8,0.3,2022
Turkey,3.2,10616,23,18.4,1.1,2022
Brazil,5.1,8920,22,27.5,1.2,2022
India,3.1,2410,12,23.0,0.7,2022
China,3.6,12556,18,11.6,2.4,2022
South Africa,6.1,6780,8,63.5,0.8,2022
